,eeca_make,eeca_model,eeca_transmission,eeca_fuel,eeca_engine_power,eeca_weight,eeca_doors,eeca_engine_cc,eeca_vehicle_type,eeca_pollutants_stars,eeca_co2stars,eeca_co2per_km,eeca_yearly_co2,eeca_fuel_stars,eeca_yearly_cost,eeca_fuel_consumption,eeca_driver_safety_stars,VerifiedVariant,eeca_drive
18720,TOYOTA,COROLLA,CVT,Petrol,80.0,1545.0,4.0,1496.0,Car(Small): Station wagon,,7,126.0,1.76,7.0,1820.0,5.2,8.0,2014–19 Corolla Waggon Petrol,2WD
8224,TOYOTA,COROLLA,CVT,Petrol,103.0,1805.0,4.0,1798.0,Car(Small): Hatchback,10.0,6,159.0,2.23,5.0,2380.0,6.8,8.0,2014–19 Corolla Hatch Petrol,2WD
36633,TOYOTA,COROLLA,CVT,Petrol,103.0,1805.0,4.0,1798.0,Car(Small): Hatchback,10.0,5,169.0,2.37,5.0,2560.0,7.3,8.0,2014–19 Corolla Hatch Petrol,2WD
42865,TOYOTA,COROLLA,CVT,Petrol,80.0,1545.0,4.0,1496.0,Car(Small): Station wagon,,7,126.0,1.76,7.0,1820.0,5.2,8.0,2014–19 Corolla Waggon Petrol,2WD
36342,TOYOTA,COROLLA,CVT,Petrol,81.0,1635.0,,1496.0,Car(Small): Station wagon,,6,143.0,2.0,6.0,2100.0,6.0,8.0,2014–19 Corolla Waggon Petrol,2WD
10502,TOYOTA,COROLLA,CVT,Petrol,81.0,1635.0,,1496.0,Car(Small): Station wagon,,6,143.0,2.0,6.0,2100.0,6.0,8.0,2014–19 Corolla Waggon Petrol,2WD
8778,TOYOTA,COROLLA,CVT,Petrol,103.0,1805.0,4.0,1798.0,Car(Small): Hatchback,10.0,6,159.0,2.23,5.0,2380.0,6.8,8.0,2014–19 Corolla Hatch Petrol,2WD
1399,TOYOTA,COROLLA,CVT,Petrol,103.0,1805.0,4.0,1798.0,Car(Small): Hatchback,10.0,6,159.0,2.23,5.0,2380.0,6.8,8.0,2014–19 Corolla Hatch Petrol,2WD
15519,TOYOTA,COROLLA,CVT,Petrol,103.0,1805.0,4.0,1798.0,Car(Small): Hatchback,10.0,6,159.0,2.23,5.0,2380.0,6.8,8.0,2014–19 Corolla Hatch Petrol,2WD
45728,TOYOTA,COROLLA,CVT,Petrol,102.0,1735.0,4.0,1798.0,Car(Small): Saloon,,5,170.0,2.38,5.0,2560.0,7.3,8.0,2014–19 Corolla Sedan Petrol,2WD
51694,TOYOTA,COROLLA,CVT,Petrol,80.0,1545.0,4.0,1496.0,Car(Small): Station wagon,,7,126.0,1.76,7.0,1820.0,5.2,8.0,2014–19 Corolla Waggon Petrol,2WD
3637,TOYOTA,COROLLA,CVT,Petrol,103.0,1805.0,4.0,1798.0,Car(Small): Hatchback,10.0,6,159.0,2.23,5.0,2380.0,6.8,8.0,2014–19 Corolla Hatch Petrol,2WD
4194,TOYOTA,COROLLA,0-step CVT,Petrol,,,,1496.0,Car: Station wagon,9.0,7,123.0,1.72,7.0,1820.0,5.2,8.0,2014–19 Corolla Waggon Petrol,2WD
51868,TOYOTA,COROLLA,CVT,Petrol,103.0,1805.0,4.0,1798.0,Car(Small): Hatchback,10.0,5,169.0,2.37,5.0,2560.0,7.3,8.0,2014–19 Corolla Hatch Petrol,2WD
57203,TOYOTA,COROLLA,CVT,Petrol,103.0,1805.0,4.0,1798.0,Car(Small): Hatchback,10.0,6,159.0,2.23,5.0,2380.0,6.8,8.0,2014–19 Corolla Hatch Petrol,2WD
16959,TOYOTA,COROLLA,CVT,Petrol,103.0,1805.0,4.0,1798.0,Car(Small): Hatchback,10.0,6,159.0,2.23,5.0,2380.0,6.8,8.0,2014–19 Corolla Hatch Petrol,2WD
